COUNTRY,% of Startups Exiting via Acquisition or IPO,Availability of Alternative Finance,Availability of Growth-Stage Capital for Scaleups,Availability of legal and accounting services for entrepreneurs.,"Availability of tech services (fintech services, crypto)",Average Time to Close a Funding Round,"Branches of multinational companies (e.g. Google, Microsoft)",Corporate tax rate,Corruption index / Rule of law,"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Cost of internet per month/USD,Cost starting a business (% of income per capita),Diversity and Inclusion Index-wage inequality,Diversity of Startup Funding Sources,E-Government Index,Early-Stage Funding Growth,Early-stage Funding Volume,Ease of getting credit,Ease of starting a business index,Ecosystem Networking Activity: Count of Meetup Groups/ Entrepreneurship Networking events,Emerging Investor Base: New Investors with less than 5 years of activity,Employee Engagement,English proficiency,Entrepreneurship as a good career choice rate,FDI Confidence index emerging markets rankings,Fear of failure rate,Female/Male TEA Ratio,Financial Literacy,Financial market development Index,Global Innovation Index,Government R&D Expenditure % GDP,Government effectiveness,Growth Rates in Biotech,Growth Rates in Cleantech,Growth Rates in Fintech,Growth Rates in Tech,H-index,Human Development Index,IP Protection Score,Industry association memberships,Internet freedom,Internet speed,Migration management,Number of Accelerators,Number of Angel Investors Supporting Startups,Number of Co-Working Spaces Supporting Startups,Number of Corporate Innovation Challenges or Hackathons Hosted,Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Number of Ecosystem Networking Events Organized,Number of Funding Rounds Closed,Number of IPOs in the Last 5 Years,Number of Investors/VCs,Number of Mentions or Features in National or International Media,Number of Research Publications in High-Impact Journals,Number of STEM graduates,Number of Scaleups Featured in National or International Media,Number of Startup or Innovation-Ready Service Providers,Number of Startup-Ready Service Providers,Number of Startups Created,Number of Startups and Projects Supported by Service Providers,Number of VC investors older than 5 years,Number of contributions by top 1000 GitHub users,Number of coworking spaces,Number of cumulative unicorns,Number of exits above 1B,Number of exits above 50M,Number of global startup events,Number of incubators,Number of research institutes,Number of startup competitions,Perceived opportunities rate,Percentage of Scaleup-Ready Service Providers,Percentage of Startups Receiving Investment,Percentage of Startups Securing Series A or Beyond,Percentage of Startups with Access to Seed or Early-Stage Funding,Percentage of enrollment in secondary education,Political transformation index,Presence of international influencers (like Tim Cook),Public Open Data Initiatives,Public capital market activity,Quality of Vocational Trainings,"R&D centers of multinational companies (e.g. Alphabet, Microsoft, Meta)",Ratio of Series A to seed,Ratio of Series C to Series A Startups,Regulatory quality,Salary of software engineers,Score of data science and tech skills,Startup Survival Rate (2+ Years),Startups to total number of companies ratio,Strength of IP Laws Score,Tax wedge,Top Universities per country,Total Capital Invested in Startups,Total Capital Invested in Startups and Scaleups,Total Funding Raised by Startups,Total Funding Raised by Startups and Scaleups,Total Government Funding allocated to early-stage Startups and Scale-ups,Total Growth-Stage Capital Invested in Scaleups,Total Number of Startups and Scaleups,Total Public Funding Allocated to Innovation and Entrepreneurship,Unemployment Rate,Youth Labour Participation rate
Gabon,3.053720553,,0.0,0.0,,0.0,0.0,16.66666667,22.17,,,0.0,,0.0,52.27272727,,0.0,40.0,88.88888889,0.0,0.0,47.5,,,,,,37.93103448,,,,24.53,,,,,0.0,53.32197615,,0.0,,11.57848582,,0.0,0.0,0.0,0.0,0.006326311,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,24.19974392,0.0,,44.43069307,,35.91470258,0.0,16.60527931,0.0,0.0,0.0,25.47,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,42.28571429,5.797101449
Gambia,3.097345133,,0.0,0.0,,0.0,0.0,25.0,37.26,,,0.0,54.95495495,0.0,25.0,,0.0,30.0,81.48148148,0.0,0.0,57.49999999999999,,,,,,,,,,27.36,,,,,4.997501249,19.5911414,,0.0,55.29411765,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.170794193,,,,,0.0,0.0,0.0,,0.0,0.0,3.5064935069999996,0.0,,58.539603959999994,,49.60718294,0.0,42.17311234,0.0,0.0,,24.06,4.025717389,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,81.71428571,24.63768116
Georgia,8.013665024,27.65798063,0.0,0.0,42.42424242,0.0,0.0,58.33333333,56.60000000000001,4.995527096,4.995527096,0.0,,0.0,75.0,26.21,0.006849971000000001,85.0,3.174603175,0.0,0.0,72.5,61.25000000000001,,,,,29.310344829999995,,35.2530541,4.529640336,72.64,,,,,13.49325337,73.93526405,,0.0,76.47058824,11.24817305,,0.135317997,0.0,0.0,0.0,0.031631556,0.0,0.0,0.0,0.023250069,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.089776681,23.21052984,0.170794193,,,,0.061333333,0.283687943,0.244498778,0.0,,0.0,0.0,25.53668098,0.0,95.78947368,53.83663366,,78.45117845,0.0,14.2111725,0.0,11.37724551,33.0,81.6,,51.51515152,0.0,0.3395736,,,1.8518518519999998,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,67.42857143,31.88405797
Germany,28.83872924,8.234790518,0.0,0.0,6.060606061,0.0,0.0,16.86111111,91.98,20.26460756,20.26460756,0.0,,0.0,89.77272727,49.88,4.445682657,70.0,11.11111111,0.0,0.0,17.5,84.16666667,37.93247186,,49.40907358,34.0,91.37931034,70.16806723,83.59511344,56.55180382,88.21,44.44444444,47.22222222,40.98360656,48.45360825,90.0049975,97.10391823,96.2890145,0.0,80.0,27.21426483,63.157894739999996,8.592692828,0.0,0.0,0.0,11.09002341,0.0,0.0,4.568788501,7.862882718,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.78442375,100.0,10.58923997,4.427480916,2.990430622,3.459972863,21.512,11.63120567,40.83129584,0.0,35.68500807,0.0,0.0,32.51565705,0.0,84.21052632,,58.04878049,87.09315376,0.0,70.62615101,0.0,29.34131737,16.0,92.45,71.12864095,97.97979798,0.0,11.88274696,96.2890145,9.24812539,32.09876543,0.0,0.0,0.0,0.0,54.81481481,0.0,0.0,0.0,91.42857143,57.97101449000001
Ghana,4.798610887,,0.0,0.0,75.75757576,0.0,0.0,30.55555556,51.42,17.23715806,17.23715806,0.0,,0.0,55.68181818,46.57,0.031024596,60.0,61.9047619,0.0,0.0,12.5,55.83333333,,,,,32.75862069,,17.10296684,,50.470000000000006,,,,,17.84107946,37.81942078,32.90734824,0.0,65.88235294,14.033908210000002,,0.47361299100000004,0.0,0.0,0.0,0.139178845,0.0,0.0,,0.10171905199999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.134665021,25.27463326,0.512382579,,,,0.381333333,0.567375887,,0.0,,0.0,0.0,15.56617462,0.0,54.73684211,62.9950495,,44.44444444,0.0,37.55371393,0.0,18.56287425,13.0,44.81,4.539345125,3.03030303,0.0,0.17793843,32.90734824,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,91.42857143,34.7826087
Greece,23.23886185,,0.0,0.0,33.33333333,0.0,0.0,38.88888889,59.91,12.07683978,12.07683978,0.0,,0.0,86.36363636,48.75,0.10402138,45.0,41.26984127,0.0,0.0,20.0,85.83333333,68.29234403,,21.69271826,49.0,55.17241378999999,,45.37521815,26.209378979999997,66.51,13.33333333,30.55555556,16.39344262,12.37113402,42.60369815,87.39352641,70.43499631,0.0,,18.20520316,47.36842105,0.270635995,0.0,0.0,0.0,0.442841779,0.0,0.0,0.4620123199999999,0.23976633699999997,0.0,0.0,67.66115562,0.0,0.0,0.0,0.0,0.0,0.381550892,27.409237059999995,1.537147737,0.152671756,0.0,0.067842605,1.376,0.992907801,2.200488998,0.0,40.47944355,0.0,0.0,35.26358074,0.0,92.63157895,,4.390243902,65.31986532,0.0,25.78268877,0.0,14.37125749,17.0,67.45,22.75752891,77.77777778,0.0,1.954062073,65.99901696,27.02589027,4.938271605,0.0,0.0,0.0,0.0,45.92592593,0.0,0.0,0.0,68.57142857,15.94202899
Guatemala,10.09340759,,0.0,0.0,91.66666667,0.0,0.0,30.55555556,13.209999999999999,19.65252601,19.65252601,0.0,,0.0,47.72727273,75.43,0.011673396,85.0,50.26455025999999,0.0,0.0,72.5,45.41666667,97.40169515,,44.33854365,50.0,22.4137931,,7.678883072,0.000315654,16.51,,,,,6.246876562,42.41908007,,0.0,,17.79596609,,0.135317997,0.0,0.0,0.0,0.031631556,0.0,0.0,0.0,0.02179694,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.089776681,13.73132829,0.0,,0.119617225,0.067842605,0.034666667,0.283687943,,0.0,73.46913427,0.0,0.0,13.624155609999999,0.0,41.05263158,37.5,,39.05723906,0.0,49.18661756,0.0,18.56287425,0.0,41.51,20.9296302,,0.0,,,,2.469135802,0.0,0.0,0.0,0.0,14.444444440000002,0.0,0.0,0.0,93.71428571,55.07246377
Guinea,3.9065614290000004,,0.0,0.0,,0.0,0.0,30.55555556,14.150000000000002,,,0.0,,0.0,30.681818179999997,,0.0,30.0,82.01058201,0.0,0.0,52.5,,,,,,8.620689655,,,,15.57,,,,,,15.502555369999998,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.002666667,0.0,,0.0,,0.0,0.0,30.958230959999998,0.0,28.42105263,35.27227723,,49.60718294,0.0,54.71147944,0.0,0.0,,15.57,0.052902857,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,85.42857143,17.39130435
Guinea-Bissau,54.20353982,,0.0,0.0,,0.0,0.0,30.55555556,6.6000000000000005,,,0.0,,0.0,19.31818182,,,30.0,91.53439153,0.0,0.0,,,,,,,,,,,6.6000000000000005,,,,,2.498750625,17.54684838,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,4.210526316,38.11881188,,,0.0,,0.0,,,8.02,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,92.85714286,53.62318841
Haiti,4.984233545,0.04815667,0.0,0.0,,0.0,0.0,16.66666667,7.55,,,0.0,,0.0,18.18181818,,0.000740679,35.0,94.17989418,0.0,0.0,,15.0,,,,,8.620689655,,,,0.9399999999999998,,,,,4.997501249,29.301533219999996,,0.0,,12.26541947,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.002906259,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,,0.0,,,,,0.0,,0.0,,0.0,0.0,19.7492163,0.0,,12.74752475,,2.693602694,0.0,11.89379988,0.0,,0.0,8.49,4.054918966,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,58.57142857000001,
Honduras,3.268555165,,0.0,0.0,85.60606061,0.0,0.0,16.66666667,16.98,,,0.0,,0.0,34.09090909,,0.0015585,80.0,69.84126984,0.0,0.0,62.5,62.08333333,,,,,17.24137931,,11.34380454,,19.34,,,,,,41.56729131,34.48021627,0.0,,18.72551885,,0.067658999,0.0,0.0,0.0,0.012652622,0.0,0.0,,0.002906259,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,6.769542501,0.512382579,,,,0.005333333,0.0,,0.0,,0.0,0.0,14.80127912,0.0,41.05263158,42.94554455,,44.21997755,0.0,35.65070595,0.0,29.94011976,0.0,33.49,10.02544137,,0.0,,34.48021627,,1.8518518519999998,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,82.85714286,53.62318841
Hungary,20.22983644,,0.0,0.0,26.515151520000003,0.0,0.0,75.0,63.21,6.210273553,6.210273553,0.0,32.65765766,0.0,78.40909091,47.63,0.039627785,75.0,26.98412698,0.0,0.0,37.5,78.75,55.93997499000001,7.050092764,57.43423561000001,26.0,70.68965517,,51.30890052,29.55452589,68.87,,,,,27.71114443,80.23850085,77.16883755,0.0,70.58823529,61.99064600999999,43.42105263,0.47361299100000004,0.0,0.0,0.0,0.341620801,0.0,0.0,0.154004107,0.21215687999999996,0.0,0.0,39.67376913,0.0,0.0,0.0,0.0,0.0,0.549882168,32.20426686,0.597779676,,,,0.488,2.553191489,3.4229828850000006,0.0,19.27710843,0.0,0.0,40.66131937,0.0,88.42105263,63.36633663,0.975609756,70.03367003,0.0,26.028238179999995,0.0,17.36526946,12.0,64.62,30.991773559999995,49.49494949,0.0,1.680167318,68.5549275,21.95935038,8.641975309,0.0,0.0,0.0,0.0,47.40740741,0.0,0.0,0.0,88.57142857,24.63768116
Iceland,6.351571538,,0.0,0.0,15.909090910000002,0.0,0.0,41.66666667,95.28,33.14656999,33.14656999,0.0,,0.0,96.59090909,53.400000000000006,0.124703133,55.00000000000001,13.22751323,0.0,0.0,47.5,,,,,,,,66.84118674,50.48633942000001,93.87,20.0,19.44444444,19.67213115,28.865979380000002,12.99350325,98.63713799,,0.0,100.0,85.44869921,60.52631579,0.405953992,0.0,0.0,0.0,0.328968179,0.0,0.0,0.205338809,0.161297354,0.0,0.0,20.93680225,0.0,0.0,0.0,0.0,0.0,0.269330042,9.725534195,0.426985483,,,0.067842605,0.136,0.141843972,,0.0,,0.0,0.0,12.09632257,0.0,90.52631579,,,58.58585859000001,0.0,67.00429711,0.0,18.56287425,14.000000000000002,88.21,73.32455953,,0.0,3.625844858,,39.84147241,0.617283951,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,90.28571429,94.20289855
India,9.424984631,,0.0,0.0,28.78787879,0.0,0.0,16.66666667,55.19,0.918122322,0.918122322,0.0,,0.0,56.81818182,50.43,9.079910009,80.0,32.27513228,0.0,0.0,62.5,39.58333333,88.82867862,51.94805194999999,3.27868852,34.0,18.96551724,18.27731092,49.04013962,,63.21,84.44444444,83.33333333,88.52459016,86.59793814,35.15742129,44.97444634,30.1548292,0.0,48.23529412,17.07980123,18.42105263,12.38159675,0.0,0.0,0.0,46.14411337,0.0,0.0,54.722792610000006,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.50892156,45.92052381,9.479077711,10.6870229,2.751196172,7.055630936,7.034666667,23.68794326,24.69437653,0.0,86.7097255,0.0,0.0,8.338524819,0.0,60.0,54.45544554,27.80487805,58.92255892,0.0,42.38796808,0.0,19.76047904,19.0,50.94,6.823068446,40.4040404,0.0,6.152850043,30.1548292,,100.0,0.0,0.0,0.0,0.0,85.18518519,0.0,0.0,0.0,88.28571429,23.1884058
Indonesia,20.44947966,2.884049441,0.0,0.0,40.15151515,0.0,0.0,38.88888889,45.28,8.620933189,8.620933189,0.0,47.52252252,0.0,71.59090909,34.98,0.71693145,70.0,38.0952381,0.0,0.0,55.00000000000001,30.0,72.94706128,24.30426716,52.859321390000005,100.0,32.75862069,,35.60209424,,66.04,93.33333333,80.55555556,95.08196721,74.22680412,20.28985507,56.72913118,20.02949128,0.0,47.05882353,8.520900322,21.05263158,1.556156969,0.0,0.0,0.0,1.6448408930000002,0.0,0.0,10.26694045,0.8733307180000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.503759398,65.68155938,1.8787361230000001,0.9160305340000001,0.23923445,1.153324288,3.146666667,1.276595745,0.0,0.0,92.57235126,0.0,0.0,13.159392920000002,0.0,77.89473684,58.787128710000005,3.902439024,78.5634119,0.0,52.93124616,0.0,24.5508982,22.0,59.43000000000001,8.90908109,94.94949495,0.0,2.830711614,28.81543377,,43.82716049,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,90.85714286,44.92753623
Iran,2.23156502,,0.0,0.0,47.72727273,0.0,0.0,30.55555556,17.45,0.988747116,0.988747116,0.0,,0.0,62.5,,0.002402676,50.0,66.66666667,0.0,0.0,15.0,42.91666667,34.2503821,,77.67823103,52.0,12.06896552,,32.63525305,,18.4,,,,,12.99350325,68.14310051,,0.0,3.529411765,3.931598948,,0.676589987,0.0,0.0,0.0,0.044284178,0.0,0.0,,0.045047009,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.168331276,36.62033626,,,,,0.136,0.283687943,3.6674816629999993,0.0,17.19041113,0.0,0.0,2.659312518,0.0,80.0,13.98514851,,43.77104377,0.0,24.3247391,0.0,10.17964072,0.0,4.25,54.596948239999996,,0.0,,,,,0.0,0.0,0.0,0.0,17.77777778,0.0,0.0,0.0,74.57142857,11.5942029
Iraq,2.975151414,,0.0,0.0,,0.0,0.0,58.33333333,3.3000000000000003,12.34992231,12.34992231,0.0,,0.0,39.77272727,0.0,0.002228098,0.0,90.47619048,0.0,0.0,52.5,7.5,,,,,24.13793103,,,0.0,9.43,,,,,7.4962518739999995,49.91482112,,0.0,36.47058824,8.748903829,,0.0,0.0,0.0,0.0,0.050610488999999995,0.0,0.0,,0.026156328,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02244417,8.474110791,0.25619129,,,,0.072,0.0,0.97799511,0.0,,0.0,0.0,6.315297055,0.0,42.10526316,32.42574257,,43.77104377,0.0,,0.0,3.592814371,0.0,11.79,39.09921136,5.050505051,0.0,,,,19.13580247,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,56.28571429,18.84057971
Ireland,42.8352341,,0.0,0.0,13.63636364,0.0,0.0,65.27777778,91.51,20.92848063,20.92848063,0.0,,0.0,87.5,44.14,0.824329737,70.0,12.16931217,0.0,0.0,10.0,,,,,,72.4137931,,69.45898778,20.35177503,93.4,,,,,40.27986007,97.10391823,92.50430081,0.0,,42.42619117,71.05263158,2.097428958,0.0,0.0,0.0,1.708104005,0.0,0.0,0.616016427,1.158144063,0.0,0.0,62.83430695,0.0,0.0,0.0,0.0,0.0,1.077320166,30.8995914,2.561912895,0.9160305340000001,0.9569377989999999,0.678426052,1.125333333,1.134751773,1.466992665,0.0,,0.0,0.0,37.48408119,0.0,98.94736842,,11.70731707,80.24691358,0.0,59.05463475,0.0,26.946107780000002,12.0,95.28,66.00706438,32.32323232,0.0,7.251689716,92.50430081,33.37977034,4.320987654,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,88.0,57.97101449000001
Isle of Man,10.70687206,,0.0,0.0,,0.0,0.0,100.0,,,,0.0,,0.0,,,0.001206007,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011222085,,0.0,,,,,0.0,,0.0,,0.0,0.0,18.18181818,0.0,,,,,0.0,,0.0,,0.0,,35.21090139,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
Israel,35.77581812,43.71020386,0.0,0.0,10.60606061,0.0,0.0,36.11111111,81.13,10.45717783,10.45717783,0.0,,0.0,90.90909091,42.15,3.521484025,70.0,17.98941799,0.0,0.0,37.5,52.5,56.09281645000001,,45.15821578,48.0,94.82758621,,74.17102967,100.0,85.38,,,,,47.6011994,91.14139693,,0.0,,66.18532593,51.31578947,4.397834912,0.0,0.0,0.0,2.555829696,0.0,0.0,5.390143737,2.168068936,0.0,0.0,40.6111483,0.0,0.0,0.0,0.0,0.0,5.240713725,35.35015741,1.537147737,3.6641221370000006,1.076555024,2.37449118,0.261333333,5.531914894,0.97799511,0.0,42.78971556,0.0,0.0,55.55200511999999,0.0,98.94736842,,4.87804878,71.26823793,0.0,52.10251688,0.0,43.71257485,26.0,86.32,92.26198215,54.54545455,0.0,23.86657413,,56.04383823,,0.0,0.0,0.0,0.0,56.48148147999999,0.0,0.0,0.0,90.0,47.82608696
Italy,36.79886838,,0.0,0.0,18.93939394,0.0,0.0,22.75,58.489999999999995,11.19167569,11.19167569,0.0,20.04504505,0.0,85.22727273,56.37,0.647219921,45.0,30.15873016,0.0,0.0,12.5,,60.5530082,,30.61380099,31.0,41.37931034,42.64705882,61.2565445,26.16438958,66.98,20.0,36.11111111,22.95081967,6.18556701,67.54122939,89.60817717,85.77045957,0.0,77.64705882,26.12686349,63.157894739999996,6.02165088,0.0,0.0,0.0,4.023533877,0.0,0.0,3.6960985629999996,1.9006931429999998,0.0,0.0,29.57025337,0.0,0.0,0.0,0.0,0.0,2.019975311,58.11172885,9.137489325,0.305343512,0.23923445,0.746268657,6.317333333,4.964539007,21.7603912,0.0,26.14582039,0.0,0.0,38.6630985,0.0,94.73684211,,27.31707317,74.41077441,0.0,50.27624309000001,0.0,19.76047904,10.0,68.87,34.1389435,88.88888889,0.0,4.400948384,86.31113296,14.524504190000002,30.86419753,0.0,0.0,0.0,0.0,47.96296296,0.0,0.0,0.0,78.57142857,17.39130435
Ivory Coast,28.77774663,,0.0,0.0,84.09090909,0.0,0.0,30.55555556,35.38,18.4236546,18.4236546,0.0,,0.0,52.27272727,67.71,0.01647751,70.0,57.67195767,0.0,0.0,35.0,3.333333333,,,,,37.93103448,,12.739965100000001,,37.74,,,,,17.84107946,26.2350937,,0.0,,16.57410114,,0.0,0.0,0.0,0.0,0.044284178,0.0,0.0,0.05133470200000001,0.036328233,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.06733251,,,,,,0.04,0.0,,0.0,,0.0,0.0,32.57918552,0.0,36.84210526,44.67821782,,21.32435466,0.0,42.54143646,0.0,0.0,10.0,46.23,12.18405794,25.25252525,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,93.71428571,33.33333333
Jamaica,10.57630045,,0.0,0.0,59.09090909,0.0,0.0,30.55555556,51.89,19.99152502,19.99152502,0.0,,0.0,56.81818182,0.0,0.003147314,85.0,37.03703704,0.0,0.0,,,,,,,34.48275862,,27.05061082,,71.7,,,,,11.86906547,55.536626919999996,,0.0,,23.93452207,,0.067658999,0.0,0.0,0.0,0.044284178,0.0,0.0,,0.023250069,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04488834,11.18243017,0.085397097,,,,0.021333333,0.0,,0.0,,0.0,0.0,7.483370288999999,0.0,72.63157895,70.04950495,,66.66666667,0.0,53.05402087000001,0.0,8.982035928,0.0,58.96,16.31898122,,0.0,0.175143585,,,0.617283951,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,87.71428571,31.88405797
Japan,70.01148802,,0.0,0.0,9.090909091,0.0,0.0,17.38888889,92.45,13.28216959,13.28216959,0.0,,0.0,92.04545455,59.43000000000001,1.406850853,55.00000000000001,15.34391534,0.0,0.0,5.0,24.16666667,0.0,,25.92451392,9.0,51.724137930000005,55.25210084,76.61431065,59.31152864,96.23,28.888888890000004,44.44444444,29.50819672,17.5257732,45.10244878,91.99318569,94.81445072,0.0,81.17647059,62.51973106999999,48.68421053,3.315290934,0.0,0.0,0.0,9.299677358,0.0,0.0,32.85420945,3.295697284,0.0,0.0,14.14499464,0.0,0.0,0.0,0.0,0.0,4.960161598,84.03627169,7.600341587999999,0.9160305340000001,1.435406699,1.763907734,5.282666667,7.092198582000001,6.845965770000001,0.0,0.0,0.0,0.0,25.812994430000003,0.0,,,54.14634146,75.19640853,0.0,60.88090853,0.0,37.7245509,17.0,91.51,47.7665794,95.95959596,0.0,6.051769835,94.81445072,37.37909732,70.37037037,0.0,0.0,0.0,0.0,48.33333333,0.0,0.0,0.0,92.85714286,52.173913039999995
Jordan,7.836656360999999,,0.0,0.0,54.54545455,0.0,0.0,44.44444444,57.08,12.19454777,12.19454777,0.0,18.46846847,0.0,59.09090909,25.58,0.020585215,95.0,39.15343915,0.0,0.0,27.500000000000004,14.58333333,75.50368209,,23.65611895,24.0,18.96551724,,30.191972080000003,,59.91,,,,,8.32083958,60.64735945,37.60137626,0.0,44.70588235,48.27535808,14.473684210000002,0.338294993,0.0,0.0,0.0,0.151831467,0.0,0.0,0.0,0.081375242,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.145887106,9.884620537,0.085397097,,,,0.128,0.567375887,,0.0,43.41075643,0.0,0.0,20.01853568,0.0,61.05263158,42.45049505,0.0,72.95173962,0.0,42.08103131,0.0,10.17964072,10.0,57.08,12.37886846,30.3030303,0.0,0.486768741,37.60137626,,14.197530860000002,0.0,0.0,0.0,0.0,43.88888889,0.0,0.0,0.0,48.85714286,14.492753620000002
Kazakhstan,9.714137816,,0.0,0.0,58.33333333,0.0,0.0,44.44444444,35.85,3.587739536,3.587739536,0.0,,0.0,87.5,79.73,0.004425657,80.0,12.6984127,0.0,0.0,45.0,12.916666669999998,93.42781715,,100.0,85.0,46.55172414,,27.05061082,0.001415406,58.489999999999995,,,,,12.99350325,71.89097104,,0.0,29.41176471,22.44957615,,0.338294993,0.0,0.0,0.0,0.075915734,0.0,0.0,0.102669405,0.066843948,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.157109191,12.2958671,0.170794193,,,,0.328,0.0,0.733496333,0.0,48.00645882,0.0,0.0,18.02342026,0.0,100.0,43.31683168,0.487804878,69.36026936,0.0,32.50460405,0.0,9.580838323,0.0,52.83,15.370830020000001,69.6969697,0.0,0.293924474,,,20.98765432,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,86.57142857,40.57971014
Kenya,7.81793497,0.369201134,0.0,0.0,71.96969697,0.0,0.0,16.66666667,40.57,14.90653986,14.90653986,0.0,,0.0,53.40909091,51.31,0.178400783,95.0,29.1005291,0.0,0.0,35.0,77.08333333,,,,,43.10344828,,18.84816754,7.3811480849999995,41.04,,,,,18.19090455,37.64906303,29.220938810000003,0.0,64.70588235,3.420052616,,1.082543978,0.0,0.0,0.0,0.379578668,0.0,0.0,0.05133470200000001,0.321141578,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.774323869,51.01681291,0.9393680620000001,,,,3.717333333,1.134751773,0.0,0.0,,0.0,0.0,19.51542299,0.0,44.21052632,54.45544554,,49.60718294,0.0,44.18354819,0.0,14.97005988,14.000000000000002,39.15,10.59887234,2.02020202,0.0,0.81562877,20.77906119,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,84.28571429,30.43478261
Kosovo,16.0603081,,0.0,0.0,,0.0,0.0,72.22222222,39.62,6.916521492999999,6.916521492999999,0.0,,0.0,,,0.00040200200000000005,85.0,29.629629629999997,0.0,0.0,50.0,,,,,,12.06896552,,,,44.34,,,,,17.49125437,,,0.0,,23.22128033,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.005333333,0.0,,0.0,,0.0,0.0,100.0,0.0,,61.63366337,,52.86195286,0.0,,0.0,0.0,0.0,38.21,22.75752891,,0.0,0.015371644,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
Kuwait,9.917533321,,0.0,0.0,53.030303030000006,0.0,0.0,58.33333333,57.550000000000004,10.47601111,10.47601111,0.0,,0.0,75.0,41.87,0.019941326,45.0,43.38624339,0.0,0.0,32.5,24.58333333,,,31.91002669,50.0,53.44827586,,31.239092500000005,0.000693756,57.550000000000004,,,,,10.61969015,79.55706985,17.59646105,0.0,,55.627009650000005,,0.067658999,0.0,0.0,0.0,0.259378756,0.0,0.0,0.102669405,0.124969121,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.190775446,3.093140867,0.0,,,0.0,0.05066666699999999,0.0,0.244498778,0.0,61.97987828,0.0,0.0,10.98871931,0.0,86.31578947,53.58910891000001,0.487804878,43.65881033,0.0,35.37446286,0.0,19.76047904,0.0,60.38,27.730397439999997,31.313131309999996,0.0,0.1383448,18.10027034,,1.8518518519999998,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,94.28571429,14.492753620000002
